extractor,k,seed,n_train,macro_f1
raw-cnn,1,0,5,0.15768664667115304
raw-cnn,1,1,5,0.35315918288166015
raw-cnn,1,2,5,0.38708379653681224
raw-cnn,1,3,5,0.38085750087538045
raw-cnn,1,4,5,0.24577114394732402
raw-cnn,5,0,21,0.4611233599797838
raw-cnn,5,1,21,0.4368883929340539
raw-cnn,5,2,21,0.43438006511677757
raw-cnn,5,3,21,0.4167083482124735
raw-cnn,5,4,21,0.46834353043782767
raw-cnn,10,0,41,0.44376229284985225
raw-cnn,10,1,41,0.44352302399093535
raw-cnn,10,2,41,0.4898499604840817
raw-cnn,10,3,41,0.39395322461648713
raw-cnn,10,4,41,0.4829598605267697
raw-cnn,50,0,201,0.5752894546503066
raw-cnn,50,1,201,0.5378105237929975
raw-cnn,50,2,201,0.533709409882078
raw-cnn,50,3,201,0.5642745012082265
raw-cnn,50,4,201,0.5822539961157729
raw-cnn,100,0,401,0.5847354095470428
raw-cnn,100,1,401,0.5760893011698165
raw-cnn,100,2,401,0.5345804113538934
raw-cnn,100,3,401,0.6033111418077209
raw-cnn,100,4,401,0.5952632325806351
yatc,1,0,5,0.23667643448080647
yatc,1,1,5,0.36141861593107966
yatc,1,2,5,0.39940024174351285
yatc,1,3,5,0.3969645546743628
yatc,1,4,5,0.24813611346303038
yatc,5,0,21,0.4887274487422357
yatc,5,1,21,0.4283075000082629
yatc,5,2,21,0.5182200023401385
yatc,5,3,21,0.46169526644128334
yatc,5,4,21,0.5137668736534335
yatc,10,0,41,0.5014419709551714
yatc,10,1,41,0.5002313043745632
yatc,10,2,41,0.49151450329455815
yatc,10,3,41,0.4851084533046791
yatc,10,4,41,0.5434502292928365
yatc,50,0,201,0.6057894135854816
yatc,50,1,201,0.5806467901441493
yatc,50,2,201,0.5617821479452108
yatc,50,3,201,0.6975992568055697
yatc,50,4,201,0.643988478294393
yatc,100,0,401,0.6374639374144876
yatc,100,1,401,0.6273021090552822
yatc,100,2,401,0.6402166862768517
yatc,100,3,401,0.6853044924264758
yatc,100,4,401,0.6581112874273654
etbert,1,0,5,0.13533786145529178
etbert,1,1,5,0.3481167165344193
etbert,1,2,5,0.2711746731444441
etbert,1,3,5,0.3640663577415784
etbert,1,4,5,0.33169646276249315
etbert,5,0,21,0.3833678326900608
etbert,5,1,21,0.42681585157402113
etbert,5,2,21,0.3816278926335276
etbert,5,3,21,0.362949686847274
etbert,5,4,21,0.412364252179427
etbert,10,0,41,0.46713680748824415
etbert,10,1,41,0.4100415177971836
etbert,10,2,41,0.44844988543507525
etbert,10,3,41,0.43364615249742683
etbert,10,4,41,0.47776291910770724
etbert,50,0,201,0.5568995261590587
etbert,50,1,201,0.5579991426890373
etbert,50,2,201,0.4874504294622766
etbert,50,3,201,0.5553756527828411
etbert,50,4,201,0.5207986570674326
etbert,100,0,401,0.5923645806366953
etbert,100,1,401,0.5794054050254283
etbert,100,2,401,0.589328737969356
etbert,100,3,401,0.587653932442988
etbert,100,4,401,0.5806094290123759
netfound,1,0,5,0.16396177049363272
netfound,1,1,5,0.32874294870033033
netfound,1,2,5,0.4029962824730253
netfound,1,3,5,0.4044527733842889
netfound,1,4,5,0.2739062968090686
netfound,5,0,21,0.46919057783603313
netfound,5,1,21,0.5022638765931623
netfound,5,2,21,0.46423747610186544
netfound,5,3,21,0.4747678947707201
netfound,5,4,21,0.5311659224921257
netfound,10,0,41,0.5209157349350141
netfound,10,1,41,0.5034050696579692
netfound,10,2,41,0.609747580888917
netfound,10,3,41,0.4758431552937399
netfound,10,4,41,0.5478409241464779
netfound,50,0,201,0.5949841496584168
netfound,50,1,201,0.6325514782790702
netfound,50,2,201,0.6096872110131188
netfound,50,3,201,0.631026262396476
netfound,50,4,201,0.6425229894741135
netfound,100,0,401,0.673942380055322
netfound,100,1,401,0.6649462900494287
netfound,100,2,401,0.6501290889834499
netfound,100,3,401,0.6584919810242905
netfound,100,4,401,0.6617637144654305
nfstream-common,1,0,5,0.1518901329850812
nfstream-common,1,1,5,0.3731011578539455
nfstream-common,1,2,5,0.4007898422372362
nfstream-common,1,3,5,0.3792306177485109
nfstream-common,1,4,5,0.27508459149391584
nfstream-common,5,0,21,0.40159735583398637
nfstream-common,5,1,21,0.39298098940621734
nfstream-common,5,2,21,0.4094323490156471
nfstream-common,5,3,21,0.4043603732471216
nfstream-common,5,4,21,0.3792940206990044
nfstream-common,10,0,41,0.3626734432982766
nfstream-common,10,1,41,0.349835335790154
nfstream-common,10,2,41,0.33165410597555156
nfstream-common,10,3,41,0.40195432987472446
nfstream-common,10,4,41,0.3779185356610789
nfstream-common,50,0,201,0.3755846214691144
nfstream-common,50,1,201,0.3873821140891457
nfstream-common,50,2,201,0.4390865448532531
nfstream-common,50,3,201,0.391025601061011
nfstream-common,50,4,201,0.38741016086045954
nfstream-common,100,0,401,0.4064733836288208
nfstream-common,100,1,401,0.41138399926974223
nfstream-common,100,2,401,0.4086313391153433
nfstream-common,100,3,401,0.40850107081157105
nfstream-common,100,4,401,0.39444852280236276
nfstream-native,1,0,5,0.22667957221989013
nfstream-native,1,1,5,0.37756152671455906
nfstream-native,1,2,5,0.40748503694290433
nfstream-native,1,3,5,0.3922466726826693
nfstream-native,1,4,5,0.29108151378142716
nfstream-native,5,0,21,0.4822358438184299
nfstream-native,5,1,21,0.5317298870563137
nfstream-native,5,2,21,0.47772501782384
nfstream-native,5,3,21,0.4436558688096971
nfstream-native,5,4,21,0.5446252086867844
nfstream-native,10,0,41,0.5672147954188638
nfstream-native,10,1,41,0.5091452142269366
nfstream-native,10,2,41,0.593057597318881
nfstream-native,10,3,41,0.5287222517990051
nfstream-native,10,4,41,0.5402389920571685
nfstream-native,50,0,201,0.5649228488645304
nfstream-native,50,1,201,0.5513124060533241
nfstream-native,50,2,201,0.5358318370607685
nfstream-native,50,3,201,0.5858644172858151
nfstream-native,50,4,201,0.576392118408806
nfstream-native,100,0,401,0.5644176860320158
nfstream-native,100,1,401,0.5621148786583816
nfstream-native,100,2,401,0.5761038623479522
nfstream-native,100,3,401,0.5667783256896074
nfstream-native,100,4,401,0.5344503734224517
